Z-Score Calculation Summary
====================================================================================================
Ticker: GAB
NAV Symbol: XGABX
Start Date: 2022-12-22
End Date: 2025-12-22
Data Points: 751
Current Premium/Discount: 9.20353982% (0.092035)
Average Premium/Discount: 4.50892050% (0.045089)
STDEV.P: 3.81880137% (0.038188)
Z-Score: 1.22934368

====================================================================================================
Daily Price and NAV Data (3-Year Window)
====================================================================================================
Date,Price,NAV,Premium/Discount (Decimal),Premium/Discount (%)
2024-07-08,5.2500,5.1600,0.01744186,1.74418605%
2024-07-09,5.2600,5.1400,0.02334630,2.33463035%
2024-07-10,5.2900,5.1900,0.01926782,1.92678227%
2024-07-11,5.3200,5.2800,0.00757576,0.75757576%
2024-07-12,5.4000,5.3200,0.01503759,1.50375940%
2024-07-15,5.4000,5.3500,0.00934579,0.93457944%
2024-07-16,5.4900,5.4600,0.00549451,0.54945055%
2024-07-17,5.5000,5.4600,0.00732601,0.73260073%
2024-07-18,5.4000,5.3900,0.00185529,0.18552876%
2024-07-19,5.3400,5.3400,0.00000000,0.00000000%
2024-07-22,5.4000,5.4000,0.00000000,0.00000000%
2024-07-23,5.4200,5.3800,0.00743494,0.74349442%
2024-07-24,5.3500,5.2800,0.01325758,1.32575758%
2024-07-25,5.3200,5.2900,0.00567108,0.56710775%
2024-07-26,5.4000,5.3700,0.00558659,0.55865922%
2024-07-29,5.4000,5.3700,0.00558659,0.55865922%
2024-07-30,5.4200,5.3800,0.00743494,0.74349442%
2024-07-31,5.4800,5.4400,0.00735294,0.73529412%
2024-08-01,5.3800,5.3400,0.00749064,0.74906367%
2024-08-02,5.2500,5.2100,0.00767754,0.76775432%
2024-08-05,5.1500,5.0500,0.01980198,1.98019802%
2024-08-06,5.1600,5.1100,0.00978474,0.97847358%
2024-08-07,5.1700,5.1000,0.01372549,1.37254902%
2024-08-08,5.2900,5.2000,0.01730769,1.73076923%
2024-08-09,5.2800,5.2100,0.01343570,1.34357006%
2024-08-12,5.2400,5.1800,0.01158301,1.15830116%
